LONGITUDE,LATITUDE,TIMESTAMP,NO
-2.242,113.7988,18082015,460
-1.6203,113.5683,18082015,461
-2.2424,113.8127,18082015,462
-2.2552,113.8247,18082015,463
-2.2422,114.0896,19082015,464
-2.0537,113.9678,19082015,465
-2.0577,113.948,19082015,466
-1.6173,113.5709,20082015,467
-1.8756,113.5151,20082015,468
-1.875,113.3798,20082015,469
-1.9336,113.7109,20082015,470
-2.0445,113.9675,20082015,471
-2.0524,113.9565,20082015,472
-2.0538,113.9662,20082015,473
-2.0552,113.7413,20082015,474
-2.2136,113.8019,20082015,475
-2.2395,113.8478,20082015,476
-2.2141,113.5743,20082015,477
-2.3456,114.1969,20082015,478
-2.2514,113.8989,20082015,479
-2.1692,113.8071,20082015,480
-2.101,113.7276,20082015,481
-2.0571,113.9611,20082015,482
-2.0871,113.7419,20082015,483
-2.0893,113.726,20082015,484
-2.1033,113.7374,20082015,485
-2.0598,113.9547,20082015,486
-2.0915,113.7357,20082015,487
-2.0938,113.7198,20082015,488
-2.0482,113.9531,20082015,489
-2.054,113.7467,20082015,490
-1.9324,113.7083,20082015,491
-1.9229,113.7161,20082015,492
-1.9252,113.7002,20082015,493
-1.8798,113.5118,20082015,494
-1.8865,113.3763,20082015,495
-1.8798,113.3877,20082015,496
-1.8822,113.3709,20082015,497
-1.6643,113.5696,20082015,498
-1.5141,113.5435,20082015,499
-1.6375,113.5522,20082015,500
-1.8761,113.3774,20082015,501
-1.8776,113.5037,20082015,502
-1.8762,113.514,20082015,503
-1.8747,113.5244,20082015,504
-1.8732,113.5348,20082015,505
-1.894,113.619,20082015,506
-2.081,113.7341,20082015,507
-2.0795,113.7448,20082015,508
-2.0482,113.9602,20082015,509
-2.0467,113.9711,20082015,510
-2.0923,113.7249,20082015,511
-2.0907,113.7355,20082015,512
-2.0892,113.7462,20082015,513
-2.0581,113.9616,20082015,514
-2.1004,113.737,20082015,515
-2.2143,113.7921,20082015,516
-2.2128,113.8028,20082015,517
-2.2174,113.788,20082015,518
-2.2158,113.7987,20082015,519
-2.2451,113.803,20082015,520
-2.2388,113.8457,20082015,521
-2.2532,113.8151,20082015,522
-2.226,114.2138,20082015,523
-2.2876,113.8529,20082015,524
-2.3409,114.197,20082015,525
-1.5068,113.5462,20082015,526
-1.8707,113.5159,20082015,527
-1.8779,113.3766,20082015,528
-2.0371,113.9633,20082015,529
-2.0385,113.9726,20082015,530
-2.0463,113.962,20082015,531
-2.0477,113.9713,20082015,532
-2.0554,113.9607,20082015,533
-2.0568,113.97,20082015,534
-2.079,113.744,20082015,535
-2.0867,113.7336,20082015,536
-2.0881,113.7428,20082015,537
-2.0958,113.7323,20082015,538
-2.2294,114.2119,20082015,539
-2.2307,114.2214,20082015,540
-2.2149,113.7933,20082015,541
-2.2162,113.8025,20082015,542
-2.2402,113.907,20082015,543
-2.245,113.8116,20082015,544
-2.3392,114.2005,20082015,545
-2.2173,113.7912,21082015,546
-2.1053,113.7273,21082015,547
-2.057,113.9693,21082015,548
-2.0596,113.9516,21082015,549
-2.0906,113.7427,21082015,550
-2.344,114.2016,22082015,551
-2.3469,113.9958,22082015,552
-2.3709,114.1543,22082015,553
-1.8757,113.5162,22082015,554
-1.8698,113.5103,22082015,555
-1.8817,113.5085,22082015,556
-2.0555,113.9677,22082015,557
-2.0782,113.9643,22082015,558
-2.0805,113.9791,22082015,559
